Level,Test,Race,School,Value
Proficient,Science,Asian,Open Choice,NA
Proficient,Science,Asian,OCn,NA
Proficient,Science,Hawaiian/Pacific,HPS Regular,NA
Proficient,Science,Hawaiian/Pacific,HREGn,NA
Proficient,Science,Hawaiian/Pacific,Hartford Magnet,NA
Proficient,Science,Hawaiian/Pacific,HMn,NA
Proficient,Science,Hawaiian/Pacific,CREC Magnet ,NA
Proficient,Science,Hawaiian/Pacific,CRn,NA
Proficient,Science,Hawaiian/Pacific,Open Choice,NA
Proficient,Science,Hawaiian/Pacific,OCn,NA
Proficient,Science,White,HPS Regular,70.7
Proficient,Science,White,HREGn,99
Proficient,Science,White,Hartford Magnet,79.1
Proficient,Science,White,HMn,43
Proficient,Science,White,CREC Magnet ,NA
Proficient,Science,White,CRn,NA
Proficient,Science,White,Open Choice,NA
Proficient,Science,White,OCn,NA
Proficient,Science,Two + races,HPS Regular,41.5
Proficient,Science,Two + races,HREGn,65
Proficient,Science,Two + races,Hartford Magnet,87.5
Proficient,Science,Two + races,HMn,24
Proficient,Science,Two + races,CREC Magnet ,NA
Proficient,Science,Two + races,CRn,NA
Proficient,Science,Two + races,Open Choice,NA
Proficient,Science,Two + races,OCn,NA
